,sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act,srcUpdateTime,updateTime,infoTime,infoDate
0,500101001,YouBike2.0_捷運科技大樓站,28,2,大安區,2023-05-27 13:50:20,25.02605,121.5436,復興南路二段235號前,Daan Dist.,YouBike2.0_MRT Technology Bldg. Sta.,No.235， Sec. 2， Fuxing S. Rd.,23,1,2023-05-27 13:50:39,2023-05-27 13:50:52,2023-05-27 13:50:20,2023-05-27
1,500101002,YouBike2.0_復興南路二段273號前,21,1,大安區,2023-05-27 13:50:20,25.02565,121.54357,復興南路二段273號西側,Daan Dist.,YouBike2.0_No.273， Sec. 2， Fuxing S. Rd.,No.273， Sec. 2， Fuxing S. Rd. (West),20,1,2023-05-27 13:50:39,2023-05-27 13:50:52,2023-05-27 13:50:20,2023-05-27
2,500101003,YouBike2.0_國北教大實小東側門,16,0,大安區,2023-05-27 13:46:04,25.02429,121.54124,和平東路二段96巷7號,Daan Dist.,YouBike2.0_NTUE Experiment Elementary School (East),No. 7， Ln. 96， Sec. 2， Heping E. Rd,15,1,2023-05-27 13:50:39,2023-05-27 13:50:52,2023-05-27 13:46:04,2023-05-27
3,500101004,YouBike2.0_和平公園東側,11,2,大安區,2023-05-27 13:50:20,25.02351,121.54282,和平東路二段118巷33號,Daan Dist.,YouBike2.0_Heping Park (East),No. 33， Ln. 118， Sec. 2， Heping E. Rd,9,1,2023-05-27 13:50:39,2023-05-27 13:50:52,2023-05-27 13:50:20,2023-05-27
4,500101005,YouBike2.0_辛亥復興路口西北側,16,0,大安區,2023-05-27 13:49:14,25.02153,121.54299,復興南路二段368號,Daan Dist.,YouBike2.0_Xinhai Fuxing Rd. Intersection (Northwest),No. 368， Sec. 2， Fuxing S. Rd.,16,1,2023-05-27 13:50:39,2023-05-27 13:50:52,2023-05-27 13:49:14,2023-05-27
5,500101006,YouBike2.0_復興南路二段280號前,11,3,大安區,2023-05-27 13:48:14,25.02429,121.54328,復興南路二段280號,Daan Dist.,YouBike2.0_No. 280， Sec. 2， Fuxing S. Rd.,No. 280， Sec. 2， Fuxing S. Rd.,8,1,2023-05-27 13:50:39,2023-05-27 13:50:52,2023-05-27 13:48:14,2023-05-27
6,500101007,YouBike2.0_復興南路二段340巷口,11,0,大安區,2023-05-27 13:30:28,25.02253,121.54326,復興南路二段342號,Daan Dist.,YouBike2.0_Ln. 340， Sec. 2， Fuxing S. Rd.,No. 342， Sec. 2， Fuxing S. Rd.,10,1,2023-05-27 13:50:39,2023-05-27 13:50:52,2023-05-27 13:30:28,2023-05-27
7,500101008,YouBike2.0_新生南路三段52號前,17,2,大安區,2023-05-27 13:48:14,25.02112,121.53407,新生南路三段52號,Daan Dist.,YouBike2.0_No. 52， Sec. 3， Xinsheng S. Rd.,No. 52， Sec. 3， Xinsheng S. Rd.,14,1,2023-05-27 13:50:39,2023-05-27 13:50:52,2023-05-27 13:48:14,2023-05-27
8,500101009,YouBike2.0_新生南路三段66號前,16,1,大安區,2023-05-27 13:48:14,25.01976,121.53384,新生南路三段66號東側,Daan Dist.,YouBike2.0_No. 66， Sec. 3， Xinsheng S. Rd.,No. 66， Sec. 3， Xinsheng S. Rd. (East),15,1,2023-05-27 13:50:39,2023-05-27 13:50:52,2023-05-27 13:48:14,2023-05-27
10,500101012,YouBike2.0_辛亥路一段30號前,8,2,大安區,2023-05-27 13:48:14,25.01986,121.52982,辛亥路一段30號,Daan Dist.,YouBike2.0_No. 30， Sec. 1， Xinhai Rd.,No. 30， Sec. 1， Xinhai Rd.,6,1,2023-05-27 13:50:39,2023-05-27 13:50:52,2023-05-27 13:48:14,2023-05-27
